,Filename,Unnamed: 1,Unnamed: 2,Blind,Visual,Visually Impaired,Unnamed: 6,Unnamed: 7,Comment,Unnamed: 9,Assign value 1 in the category for which you believe dog belongs based on the results of the visual maze testing,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status,Expert Status
269,2023-06-13_09-27-56_000.mov,,,,1.0,,,,probably decreased. I guess,,,8.0,23.0,8.0,963.0769913,2,3
270,2023-06-16_12-00-41_000.mov,,,1.0,,,,,,,,3.0,22.0,5.0,1004.697444,1,1
271,2023-06-29_14-23-32_000.mov,,,1.0,,,,,,,,4.0,23.0,3.0,1975.356691,1,1
272,2023-07-11_10-51-50_000.mov,,,1.0,,,,,probably it could see big objects,,,17.0,22.0,5.0,564.4529033,2,1
273,2023-07-14_10-35-28_000.mov,,,1.0,,,,,,,,13.0,27.0,4.0,1017.978192,2,1
274,2023-07-28_13-38-42_000.mov,,,,,1.0,,,there is no enough data,,,15.0,25.0,4.0,1014.373054,2,2
275,2023-08-03_13-16-43_000.mov,,,1.0,,,,,,,,18.0,30.0,4.0,977.9680214,2,1
276,2023-09-08_12-16-26_000.mov,,,1.0,,,,,,,,28.0,44.0,12.0,793.9708836,2,1
277,2023-09-12_11-25-07_000.mov,,,,1.0,,,,,,,9.0,38.0,5.0,1245.653966,2,3
278,2023-09-14_10-17-33_000.mov,,,,1.0,,,,,,,7.0,21.0,1.0,1360.652994,1,3
279,2023-10-06_12-34-00_000.mov,,,1.0,,,,,,,,33.0,65.0,15.0,970.990583,2,1
280,2023-10-12_09-55-49_000.mov,,,1.0,,,,,,,,51.0,68.0,17.0,947.2223039,2,1
281,2023-10-16_11-03-30_000.mov,,,1.0,,,,,,,,11.0,20.0,6.0,819.3778445,2,1
282,2023-10-17_10-48-43_000.mov,,,1.0,,,,,,,,14.0,38.0,11.0,1113.793764,2,1
283,2023-10-27_14-05-34_000.mov,,,,1.0,,,,there is no enough data,,,14.0,48.0,11.0,1034.922501,2,3
284,2023-11-09_11-54-49_000.mov,,,1.0,,,,,,,,16.0,23.0,7.0,664.9977418,2,1
285,2023-11-14_10-05-28_000.mov,,,1.0,,,,,,,,15.0,47.0,9.0,1303.819297,2,1
286,2023-11-22_19-15-28_000.mov,,,1.0,,,,,,,,37.0,43.0,9.0,810.975587,2,1
287,2023-11-30_11-16-30_000.mov,,,1.0,,,,,,,,21.0,45.0,9.0,924.35859,2,1
288,2023-12-07_15-09-56_000.mov,,,,1.0,,,,there is no enough data,,,14.0,26.0,5.0,1155.089298,2,3
289,2023-12-14_11-10-13_000.mov,,,,,1.0,,,,,,22.0,28.0,7.0,890.8904039,2,2
290,2024-01-02_10-09-05_000.mov,,,1.0,,,,,,,,15.0,36.0,12.0,1017.266194,2,1
291,2024-01-11_11-11-23_000.mov,,,,,1.0,,,,,,8.0,22.0,2.0,1347.321893,2,2
292,2024-01-23_11-51-44_000.mov,,,,1.0,,,,,,,26.0,37.0,6.0,896.5992547,2,3
293,2024-02-09_13-37-59_000.mov,,,1.0,,,,,,,,22.0,27.0,7.0,638.4328525,2,1
294,2024-02-12_12-30-59_000.mov,,,1.0,,,,,,,,6.0,42.0,8.0,1571.242569,1,1
295,2024-02-15_10-45-29_000.mov,,,1.0,,,,,,,,29.0,27.0,11.0,630.1176043,2,1
296,2024-02-15_11-50-58_000.mov,,,1.0,,,,,,,,20.0,23.0,3.0,1020.543813,2,1
297,2024-02-26_11-16-32_000.mov,,,1.0,,,,,,,,16.0,36.0,9.0,1104.434103,2,1
298,2024-03-04_10-43-45_000.mov,,,1.0,,,,,,,,7.0,29.0,7.0,1150.689114,1,1
299,2024-03-07_11-02-10_000.mov,,,1.0,,,,,,,,16.0,34.0,4.0,1252.997402,2,1
300,2024-03-13_09-35-34_000.mov,,,,1.0,,,,,,,4.0,18.0,3.0,1496.989791,1,3
301,2024-03-18_16-09-34_000.mov,,,1.0,,,,,,,,45.0,34.0,10.0,629.8811312,2,1
302,2024-03-25_09-27-27_000.mov,,,1.0,,,,,there is no enough data,,,14.0,32.0,10.0,1089.113071,2,1
303,2024-03-26_12-15-29_000.mov,,,,1.0,,,,,,,1.0,23.0,1.0,1514.813269,1,3
304,2024-04-01_11-25-35_000.mov,,,1.0,,,,,,,,5.0,12.0,3.0,1165.988162,1,1
305,2024-04-16_10-28-44_000.mov,,,,,1.0,,,almost blind,,,32.0,63.0,15.0,993.9476508,2,2
306,2024-04-23_11-20-52_000.mov,,,1.0,,,,,,,,30.0,59.0,15.0,974.1954445,2,1
307,2024-05-03_12-21-17_000.mov,,,1.0,,,,,,,,4.0,14.0,3.0,990.7483491,1,1
308,2024-05-06_11-37-54_000.mov,,,1.0,,,,,,,,11.0,35.0,2.0,1234.119505,2,1
309,2024-05-06_15-12-00_000.mov,,,,,1.0,,,probably collided once but the obstacle blocked this fact,,,9.0,23.0,5.0,1326.631434,2,2
310,2024-05-07_16-17-12_000.mov,,,1.0,,,,,,,,42.0,84.0,19.0,981.9234951,2,1
311,2024-05-09_11-10-46_000.mov,,,,,1.0,,,no enough data,,,33.0,30.0,9.0,727.9431828,2,2
312,2024-05-16_11-54-35_000.mov,,,1.0,,,,,,,,11.0,18.0,5.0,960.878689,2,1
313,2024-06-17_11-47-49_000.mov,,,1.0,,,,,,,,12.0,26.0,3.0,828.187575,2,1
314,2024-06-21_10-49-08_000.mov,,,,,1.0,,,no enough data,,,19.0,26.0,4.0,887.4845017,2,2
315,2024-07-09_13-01-49_000.mov,,,1.0,,,,,,,,15.0,49.0,5.0,1304.157039,2,1
316,2024-07-15_11-54-13_000.mov,,,1.0,,,,,,,,12.0,20.0,1.0,1328.669918,2,1
317,2024-07-25_10-46-27_000.mov,,,1.0,,,,,"no enough data, may be was blind",,,13.0,74.0,16.0,1370.430577,2,1
318,2024-07-30_10-45-00_000 (1).mov,,,1.0,,,,,,,,24.0,31.0,7.0,736.8161831,2,1
319,2024-08-05_14-33-21_000.mov,,,1.0,,,,,,,,29.0,54.0,13.0,956.0325232,2,1
320,2024-08-06_11-34-36_000.mov,,,1.0,,,,,no enough data,,,21.0,23.0,5.0,476.2247016,2,1
321,2024-08-07_10-09-17_000.mov,,,,1.0,,,,passed it but maybe had decreased sight,,,8.0,28.0,5.0,1047.90173,2,3
322,2024-08-08_11-46-28_000.mov,,,1.0,,,,,,,,24.0,29.0,12.0,626.0666864,2,1
323,2024-08-13_13-02-50_000.mov,,,1.0,,,,,,,,15.0,35.0,5.0,1038.866194,2,1
324,2024-08-15_11-00-43_000.mov,,,1.0,,,,,,,,13.0,11.0,5.0,722.1905207,2,1
325,2024-08-20_10-59-50_000.mov,,,1.0,,,,,probably it could see big objects,,,23.0,33.0,10.0,1091.002282,2,1
326,2024-08-27_15-16-11_000.mov,,,1.0,,,,,probably it could see big objects,,,32.0,52.0,9.0,900.5547575,2,1
327,2024-08-29_15-26-27_000.mov,,,1.0,,,,,,,,33.0,56.0,12.0,1341.529934,2,1
328,2024-09-09_11-10-39_000.mov,,,,1.0,,,,,,,10.0,13.0,2.0,941.0227467,2,3
329,2024-09-19_10-39-41_000.mov,,,1.0,,,,,,,,21.0,17.0,4.0,807.7008581,3,1
330,2024-09-24_14-46-58_000.mov,,,1.0,,,,,probably it could see big objects,,,1.0,17.0,0.0,1835.315958,1,1
331,2024-09-26_10-06-32_000.mov,,,,,1.0,,,probably was blind but lucky,,,12.0,25.0,4.0,1080.640578,2,2
332,2024-10-01_12-49-28_000.mov,,,,,1.0,,,,,,17.0,32.0,5.0,1039.435937,2,2
333,2024-10-01_14-23-11_000.mov,,,1.0,,,,,,,,4.0,19.0,1.0,1557.52943,1,1
334,2024-10-28_10-36-22_000.mov,,,1.0,,,,,,,,22.0,19.0,6.0,510.9309166,3,1
335,2024-10-28_15-21-57_000.mov,,,,1.0,,,,,,,2.0,17.0,0.0,1680.332256,1,3
336,2024-10-29_11-19-09_000.mov,,,1.0,,,,,,,,4.0,41.0,6.0,1512.336895,1,1
337,2024-10-29_11-21-12_000.mov,,,,1.0,,,,,,,5.0,14.0,1.0,1349.018267,1,3
338,2024-10-31_11-26-27_000.mov,,,,,1.0,,,probably was blind but lucky,,,25.0,37.0,8.0,851.7093573,2,2
339,2024-11-01_11-05-33_000.mov,,,,1.0,,,,could have decreased vision,,,23.0,54.0,8.0,970.0978708,2,3
340,2024-12-02_10-38-55_000.mov,,,1.0,,,,,,,,7.0,24.0,6.0,1050.413485,1,1
341,2024-12-10_13-14-51_000.mov,,,,1.0,,,,could have decreased vision,,,3.0,15.0,2.0,1307.012383,1,3
342,2024-12-12_09-36-29_000.mov,,,,1.0,,,,,,,2.0,9.0,0.0,1135.948388,1,3
343,2024-12-16_10-10-43_000.mov,,,1.0,,,,,probably it could see big objects or a single eye was somehow visual,,,38.0,53.0,13.0,791.1562078,2,1
344,2024-12-17_12-23-51_000.mov,,,,,1.0,,,there is no enough data,,,31.0,38.0,9.0,712.4149496,2,2
345,2024-12-17_17-35-27_000.mov,,,,1.0,,,,,,,16.0,62.0,5.0,1471.975921,2,3
346,2024-12-19_11-22-54_000.mov,,,1.0,,,,,,,,24.0,56.0,14.0,953.6923523,2,1
347,2025-01-13_11-00-32_000.mov,,,1.0,,,,,,,,8.0,32.0,3.0,1255.074608,2,1
348,2025-01-14_11-00-54_000.mov,,,1.0,,,,,,,,6.0,11.0,2.0,1035.678195,1,1
349,2025-02-03_12-24-18_000.mov,,,,,1.0,,,could see big objects,,,12.0,26.0,8.0,1121.601769,2,2
350,2025-02-05_09-38-40_000.mov,,,1.0,,,,,,,,3.0,15.0,1.0,1339.869298,1,1
351,2025-02-10_11-34-15_000.mov,,,1.0,,,,,,,,8.0,32.0,3.0,1398.284991,2,1
352,2025-02-11_10-28-40_000.mov,,,,,1.0,,,could see big objects,,,23.0,36.0,4.0,916.7166681,2,2
353,2025-02-17_10-27-06_000.mov,,,1.0,,,,,,,,48.0,30.0,9.0,637.6082913,2,1
354,2025-02-20_11-04-48_000.mov,,,,,1.0,,,there is no enough data,,,42.0,101.0,38.0,766.2189656,2,2
355,2025-02-24_11-06-44_000.mov,,,1.0,,,,,,,,6.0,29.0,5.0,1391.254022,1,1
356,2025-02-27_11-44-20_000.mov,,,,,1.0,,,almost blind but could see big black things,,,18.0,23.0,6.0,841.9907569,2,2
357,2025-03-11_15-01-05_000.mov,,,1.0,,,,,,,,12.0,23.0,6.0,802.7619856,2,1
358,2025-03-17_11-25-29_000.mov,,,,1.0,,,,the dog passed the maze but was uncertain,,,5.0,32.0,4.0,1565.965639,1,3
359,2025-03-20_12-54-58_000.mov,,,,,,,,,,,19.0,29.0,6.0,762.9433676,2,
360,2025-03-24_12-10-20_000.mov,,,,,,,,,,,7.0,27.0,2.0,1462.571281,1,
361,2025-04-07_10-34-04_000.mov,,,,1.0,,,,,,,5.0,11.0,2.0,1253.998607,1,3
362,2025-04-10_09-58-55_000.mov,,,,1.0,,,,,,,12.0,12.0,3.0,850.8700993,2,3
363,2025-05-29_10-38-20_000.mov,,,,1.0,,,,,,,5.0,18.0,0.0,1375.331695,1,3
364,2025-05-29_11-56-12_000.mov,,,,1.0,,,,,,,3.0,10.0,0.0,908.8900975,1,3
365,2025-06-02_10-12-24_000.mov,,,1.0,,,,,there is no enough data. Dog appears completely blind but luckily passed the maze,,,8.0,18.0,1.0,1316.492321,2,1
366,2025-06-05_11-53-32_000.mov,,,1.0,,,,,,,,36.0,42.0,10.0,759.5962556,2,1
367,2025-06-10_11-33-20_000.mov,,,,,,,,doesn’t move at all,,,9.0,38.0,9.0,1123.402257,2,
368,21.wmv,,,,1.0,,,,,,,,,,,,3
369,23.wmv,,,1.0,,,,,the dog is confused and didn't touch any object because it stood at one place,,,,,,,,1
370,25.wmv,,,,1.0,,,,,,,,,,,,3
371,32.wmv,,,,1.0,,,,,,,,,,,,3
372,33.wmv,,,1.0,,,,,,,,,,,,,1
373,BAsset-Chief Iowa City.mpg,,,1.0,,,,,,,,,,,,,1
374,before intraocular injection.wmv,,,1.0,,,,,,,,,,,,,1
375,Benji Jersey - IMR maze.mpg,,,,1.0,,,,,,,,,,,,3
376,Buddy-SARDs post IVIg no response.mpg,,,1.0,,,,,doesn’t move at all,,,,,,,,1
377,Cassie686376 Pre.wmv,,,1.0,,,,,,,,,,,,,1
378,Duncan1.mpg,,,1.0,,,,,probably it could see big objects,,,,,,,,1
379,FC617017.wmv,,,1.0,,,,,,,,,,,,,1
380,IMG_0188.MOV,,,,,1.0,,,the dog passed the maze but was uncertain,,,18.0,58.0,10.0,1234.703685,2,2
381,IMG_0230.MOV,,,1.0,,,,,,,,54.0,61.0,7.0,992.6951043,2,1
382,IMG_0236.MOV,,,,,1.0,,,there is no enough data,,,32.0,50.0,3.0,1294.377873,2,2
383,IMG_0374.MOV,,,1.0,,,,,,,,27.0,35.0,4.0,776.0020008,2,1
384,IMG_0484.MOV,,,1.0,,,,,,,,40.0,56.0,9.0,896.5464577,2,1
385,IMG_0568.MOV,,,1.0,,,,,doesn’t move at all,,,37.0,29.0,7.0,633.6459188,2,1
386,IMG_0979.MOV,,,,1.0,,,,,,,19.0,45.0,6.0,1202.33853,2,3
387,IMG_1007.MOV,,,,1.0,,,,,,,25.0,34.0,4.0,1124.119859,2,3
388,IMG_1379.MOV,,,1.0,,,,,,,,27.0,48.0,10.0,886.3277192,2,1
389,IMG_1915.MOV,,,1.0,,,,,probably it could see big objects,,,38.0,62.0,2.0,832.6703828,2,1
390,IMG_1944.MOV,,,,,,,,there is no enough data,,,23.0,39.0,8.0,980.2098223,2,
391,IMG_2005.MOV,,,,,,,,there is no enough data,,,7.0,32.0,5.0,1241.769348,1,
392,IMG_2040.MOV,,,1.0,,,,,,,,10.0,16.0,2.0,760.1860714,2,1
393,IMG_2075.MOV,,,,,1.0,,,,,,28.0,32.0,8.0,709.1351505,2,2
394,IMG_2089.MOV,,,,,1.0,,,almost blind but could see big black things,,,13.0,32.0,5.0,930.5193798,2,2
395,IMG_2377.MOV,,,,1.0,,,,,,,9.0,39.0,3.0,1275.142934,2,3
396,IMG_2406.MOV,,,,1.0,,,,,,,11.0,19.0,3.0,868.0536701,2,3
397,IMG_2431.MOV,,,,1.0,,,,,,,46.0,34.0,6.0,700.357327,2,3
398,IMG_2748.MOV,,,1.0,,,,,there is no enough data,,,40.0,57.0,11.0,792.9034443,2,1
399,IMG_3332.MOV,,,1.0,,,,,,,,19.0,22.0,4.0,736.5853997,2,1
400,IMG_3481.MOV,,,1.0,,,,,,,,13.0,37.0,3.0,1004.947942,2,1
401,IMG_3660.MOV,,,,1.0,,,,,,,2.0,12.0,1.0,1211.029969,1,3
402,IMG_3847.MOV,,,1.0,,,,,,,,23.0,49.0,10.0,1087.635576,2,1
403,IMG_3855.MOV,,,1.0,,,,,,,,14.0,38.0,5.0,1113.552176,2,1
404,IMG_3874.MOV,,,,1.0,,,,,,,7.0,12.0,0.0,1124.497604,1,3
405,IMG_3961.MOV,,,,1.0,,,,,,,4.0,43.0,6.0,1637.40234,1,3
406,IMG_4079.MOV,,,1.0,,,,,,,,15.0,34.0,5.0,975.6733475,2,1
407,IMG_4331.MOV,,,1.0,,,,,,,,19.0,53.0,6.0,1055.293803,2,1
408,IMG_4333.MOV,,,,1.0,,,,probably had decreased sight,,,15.0,31.0,8.0,1021.084004,2,3
409,IMG_4345.MOV,,,1.0,,,,,there is no enough data,,,8.0,19.0,4.0,1011.859672,2,1
410,IMG_4578.MOV,,,,,1.0,,,,,,8.0,42.0,5.0,1189.780964,2,2
411,IMG_4762.MOV,,,,1.0,,,,,,,31.0,33.0,6.0,849.3497973,2,3
412,IMG_4849.MOV,,,,1.0,,,,,,,2.0,6.0,0.0,1251.105205,1,3
413,IMG_4946.MOV,,,,,,,,,,,24.0,46.0,12.0,852.6015433,2,
414,IMR-Roxy.mpg,,,,1.0,,,,,,,,,,,,3
415,Intermediate SARDS Maggie 22 months.wmv,,,,1.0,,,,,,,,,,,,3
416,iPhone Aug 31 2016 068.MOV,,,1.0,,,,,,,,21.0,23.0,6.0,608.1750256,2,1
417,iPhone Aug 31 2016 083.MOV,,,,1.0,,,,probably was blind but lucky,,,13.0,35.0,4.0,1492.421571,2,3
418,iPhone Aug 31 2016 218.MOV,,,1.0,,,,,acted like blind but didnt hit anything,,,20.0,50.0,3.0,1202.817657,2,1
419,iPhone Aug 31 2016 243.MOV,,,1.0,,,,,,,,3.0,18.0,2.0,1181.558777,1,1
420,iPhone Aug 31 2016 313.MOV,,,,1.0,,,,,,,13.0,35.0,5.0,1121.849999,2,3
421,iPhone Aug 31 2016 358.MOV,,,,1.0,,,,,,,44.0,48.0,6.0,829.2224922,2,3
422,iPhone Aug 31 2016 363.MOV,,,1.0,,,,,,,,10.0,30.0,4.0,994.2740918,2,1
423,iPhone Aug 31 2016 368.MOV,,,,1.0,,,,,,,10.0,20.0,2.0,1290.478629,2,3
424,iPhone Aug 31 2016 552.MOV,,,,1.0,,,,,,,17.0,38.0,2.0,1334.840472,2,3
425,iPhone Aug 31 2016 555.MOV,,,1.0,,,,,probably it could see big objects,,,51.0,64.0,12.0,740.9139081,2,1
426,Luna maze post IVIg 4.mpg,,,,1.0,,,,,,,,,,,,3
427,Luna pre IVIg in the room.mpg,,,,1.0,,,,,,,,,,,,3
428,M2U00029.MPG,,,1.0,,,,,,,,,,,,,1
429,M2U00031.MPG,,,1.0,,,,,,,,,,,,,1
430,M2U00034.MPG,,,,1.0,,,,,,,,,,,,3
431,M2U00043.MPG,,,,1.0,,,,,,,,,,,,3
432,M2U00046.MPG,,,,1.0,,,,,,,,,,,,3
433,M2U00052.MPG,,,,1.0,,,,,,,,,,,,3
434,Maze - blind.avi,,,1.0,,,,,,,,,,,,,1
435,Molly pre-IVIg.mpg,,,1.0,,,,,doesn’t move at all,,,,,,,,1
436,Mov10.wmv,,,,1.0,,,,,,,,,,,,3
437,Mov21.wmv,,,1.0,,,,,,,,,,,,,1
438,Mov25.wmv,,,,,,,,there is no enough data,,,,,,,,
439,Mov27.wmv,,,,1.0,,,,there is no enough data,,,,,,,,3
440,Mov31.wmv,,,1.0,,,,,,,,,,,,,1
441,Mov35.wmv,,,,1.0,,,,,,,,,,,,3
442,Mov6.wmv,,,1.0,,,,,,,,,,,,,1
443,Mov7.wmv,,,,1.0,,,,,,,,,,,,3
444,Mov9.wmv,,,,1.0,,,,,,,,,,,,3
445,October 2019 exam room camera videos 003.MPG,,,1.0,,,,,,,,,,,,,1
446,October 2019 exam room camera videos 005.MPG,,,,1.0,,,,,,,,,,,,3
447,October 2019 exam room camera videos 008.MPG,,,1.0,,,,,,,,,,,,,1
448,October 2019 exam room camera videos 009.MPG,,,1.0,,,,,,,,,,,,,1
449,October 2019 exam room camera videos 010.MPG,,,1.0,,,,,,,,,,,,,1
450,October 2019 exam room camera videos 011.MPG,,,,1.0,,,,,,,,,,,,3
451,October 2019 exam room camera videos 013.MPG,,,1.0,,,,,,,,,,,,,1
452,October 2019 exam room camera videos 014.MPG,,,,,1.0,,,"could be with problems, but the movie is too short",,,,,,,,2
453,October 2019 exam room camera videos 015.MPG,,,1.0,,,,,,,,,,,,,1
454,October 2019 exam room camera videos 018.MPG,,,1.0,,,,,,,,,,,,,1
455,October 2019 exam room camera videos 022.MPG,,,1.0,,,,,,,,,,,,,1
456,October 2019 exam room camera videos 023.MPG,,,,1.0,,,,,,,,,,,,3
457,Ripley SARDS hearing smell.wmv,,,1.0,,,,,,,,,,,,,1
458,Romi maze before treatment.mpg,,,1.0,,,,,,,,,,,,,1
459,Roxi maze 2.mpg,,,,1.0,,,,,,,,,,,,3
460,Roxi Maze post IVIg.wmv,,,,1.0,,,,,,,,,,,,3
461,Samsung Galaxy 10-2013 113.mp4,,,1.0,,,,,,,,63.0,30.0,16.0,282.2708405,2,1
462,Samsung Galaxy 10-2013 895.mp4,,,,,1.0,,,there is no enough data,,,27.0,32.0,6.0,478.0841879,2,2
463,SARDs post-IVIg response.wmv,,,,1.0,,,,,,,,,,,,3
464,Sassy maze after retinal illumination4.mpg,,,,,,,,there is no enough data,,,,,,,,
465,Sassy SARDS April 29 2016 3 y post IVIg.wmv,,,,1.0,,,,,,,,,,,,3
466,Spot2.mpg,,,1.0,,,,,,,,,,,,,1
467,video-2011-10-21-15-28-18.mp4,,,1.0,,,,,,,,95.0,46.0,22.0,280.7540594,2,1
468,video-2012-08-10-11-23-45.mp4,,,1.0,,,,,,,,17.0,20.0,7.0,426.5293217,3,1
469,video-2012-10-17-14-51-41.mp4,,,,,1.0,,,didn’t hit anything but the head position was suspicions,,,3.0,8.0,3.0,636.9490297,1,2
